,Municipio,Temperatura_media,Latitude,Longitude
209,aquidauana,24.533758865248227,-20.47555554,-55.78388888
210,caratinga,23.341084474885843,-19.735757,-42.137146
212,aracuai,24.32239758616688,-16.84888888,-42.03527777
213,seropedica ecologia agricola,23.32067587624158,-22.75777777,-43.68472221
214,palmas,27.320729824561404,-10.19083333,-48.30194444
216,rio urubu,25.298046111762407,-2.6336111,-59.60055555
217,bela vista,23.251509382648898,-22.10166666,-56.54083333
218,agua boa,26.921974522292995,-14.01638888,-52.21166666
219,campos novos,16.79557595011178,-27.3886111,-51.21583333
223,almas,27.364485766758495,-11.28416666,-47.21222222
224,uaua,24.2,-9.8336111,-39.49555555
225,marau,26.18822660098522,-13.90694444,-38.97222221
226,ibitinga,21.499484801648634,-21.85555555,-48.79972221
228,itaobim,25.50051623264885,-16.575667,-41.485588
229,barra bonita,25.96854787571338,-22.4711111,-48.5575
230,carmo,21.91947933318109,-21.938745,-42.600936
231,monte verde,15.013576007326009,-22.86166666,-46.04333333
232,bom jesus do piaui,26.73376888525929,-9.08333333,-44.32638888
233,lencois,26.223608562691133,-12.557854,-41.388808
234,caarapo,24.660276224926008,-22.657056,-54.819306
235,resende,21.40386462382804,-22.45138888,-44.44499999
236,ivai,18.98129864095714,-25.01083333,-50.85388888
237,patos de minas,21.461440559440558,-18.52055554,-46.44055555
238,imperatriz,26.877118353344766,-5.555723,-47.459794
239,caiaponia,25.838665063138908,-16.96694443,-51.81749999
240,teofilo otoni,23.988442498095964,-17.89284,-41.515423
241,presidente prudente,23.91234242493697,-22.119867,-51.408637
242,canto do buriti,27.185980560320182,-8.117939,-42.975721
244,floriano,28.991793960923623,-6.76138888,-43.00333333
245,japira,22.53114956736712,-23.77333332,-50.18055554
246,aguas emendadas,21.094037179936862,-15.596491,-47.625801
247,oliveira,20.185148401826485,-20.715,-44.86444444
248,muriae,22.679333181091575,-21.105,-42.37583332
249,itapeva,19.81116883116883,-23.98194443,-48.88583333
250,franca,21.86664751838235,-20.58444444,-47.38249999
251,nova fatima,23.25,-23.41527777,-50.57777777
252,novo aripuana,28.950831702544033,-8.0911111,-60.38055554
253,paulistana,29.280673758865248,-8.132288,-41.142945
254,aragarcas,27.804008221993833,-15.90277777,-52.24527777
255,sapezal,23.39734241908007,-13.30388888,-58.76333333
256,alto parnaiba,25.61613913043478,-9.10833333,-45.93194443
259,ilheus,23.322530137176113,-14.65888888,-39.18138888
260,joaquim tavora,22.84575455482984,-23.505266,-49.946387
261,araguacu,26.115026351268536,-12.59222221,-49.5286111
262,rio negrinho,16.408011937557394,-26.2486111,-49.57416666
265,santana do araguaia,25.798876404494383,-9.3386111,-50.35027777
266,barreiras,25.779077253218887,-12.12472221,-45.02694443
267,brazlandia,21.707902097902096,-15.59972221,-48.1311111
268,santa maria madalena,20.89576779633533,-21.95055555,-42.01027777
270,bom jardim da serra morro da igreja,10.715585750171273,-28.126992,-49.47961
272,teresina,27.49703056768559,-5.03472221,-42.80138888
273,rio do campo,17.569242216117214,-26.93749999,-50.14555555
274,silvania,22.002534246575344,-16.67972221,-48.61805554
276,pompeu,23.570247933884296,-19.23249999,-44.96416666
277,dois vizinhos,26.953333333333333,-25.69916666,-53.09527777
278,xanxere,18.58334535834536,-26.938666,-52.39809
279,jeremoabo,25.80093692870201,-10.08083332,-38.34583333
280,silva jardim,22.639333028780264,-22.64583333,-42.41555555
281,sao luis do quitunde,27.36107617051013,-9.28749999,-35.56583333
282,urucui,25.906344827586206,-7.44138888,-44.34499999
283,laranjeiras do sul,21.466987815245112,-25.36888888,-52.39194444
285,feijo,26.2624418003104,-8.14277777,-70.3436111
286,cacador,16.54361739130435,-26.819156,-50.98552
287,itirucu,20.782652944539734,-13.527828,-40.119752
288,foz do iguacu,25.855899802241268,-25.60194444,-54.48305554
289,major vieira,16.76017152658662,-26.3936111,-50.36333333
290,ibotirama,28.54706785385324,-12.19305555,-43.21333333
292,santa teresa,18.028559049269624,-19.988388,-40.579572
293,edeia,25.51895142636854,-17.33694444,-49.91472222
294,campo verde,23.244778502061994,-15.53138888,-55.13555555
295,joacaba,18.789780658025922,-27.16916666,-51.55888888
296,santa rita de cassia,24.703260869565216,-11.00277777,-44.52499999
297,cangucu,15.974016255966973,-31.40333333,-52.70083333
299,campos do jordao,14.523206803056446,-22.75027777,-45.60388888
300,rio de janeiro jacarepagua,22.554755309325945,-22.93999999,-43.40277777
301,sao joaquim,13.566830382638493,-28.27564,-49.934617
302,sao gabriel,18.911814492753624,-30.341438,-54.310909
303,sao romao,25.48416895604396,-16.362747,-45.123801
304,morretes,20.417880884547554,-25.508935,-48.808681
305,teutonia,19.36132017273288,-29.44916666,-51.82333332
306,dracena,23.790420880021863,-21.45777777,-51.55222222
307,cuiaba,27.779187147824004,-15.559295,-56.062951
308,sao sebastiao do paraiso,22.39913043478261,-20.91,-47.11416666
311,tome acu,26.404327040941407,-2.59249999,-48.36055555
312,campos dos goytacazes,23.252368991894052,-21.71472222,-41.34388888
313,diamante do norte,26.896113074204948,-22.63944444,-52.89027777
314,teresopolis parque nacional,17.491621874269686,-22.4486111,-42.98694444
316,sao luiz gonzaga,21.578884377003636,-28.41722221,-54.9625
317,caracol,26.352037574250588,-9.28583333,-43.32444443
318,ribeira do amparo,25.06775320139697,-11.05861111,-38.44416666
320,porto estrela,25.903270440251575,-15.32472221,-57.22583332
321,araxa,21.910432686789854,-19.605696,-46.949617
323,maria da fe,16.322016672376385,-22.314567,-45.373049
324,estreito,27.13816199376947,-6.65333333,-47.41833332
325,iguape,22.789111540318686,-24.67166666,-47.54583333
327,nova alvorada do sul,26.125483241709524,-21.450972,-54.341972
328,quixeramobim,31.740538116591924,-5.17444443,-39.28944444
329,santa fe do araguaia,28.438321536905967,-7.124191,-48.781267
330,macae,23.1335365009004,-22.3761111,-41.81194444
331,parnaiba,27.23601781406569,-3.08666666,-41.78305554
332,nova venecia,25.08190937391906,-18.69527777,-40.39055555
333,barbalha,25.785658914728682,-7.30083333,-39.2711111
334,sao jose do xingu,25.539269866881806,-10.48416666,-52.37249999
335,curitiba,18.193202709240445,-25.4486111,-49.23055554
336,barbacena,18.26111683258954,-21.22833332,-43.76777777
337,alto araguaia,23.050351731601733,-17.33944444,-53.22444443
339,buritis,22.09676977826444,-15.52416666,-46.43555555
340,bage,17.61934673366834,-31.34777777,-54.01333333
341,salgueiro,28.99742921013413,-8.05805555,-39.0961111
342,juina,24.963424622472488,-11.375126,-58.774785
343,medicilandia,24.98782816229117,-3.51083333,-52.96333333
346,cambuci,23.39744783306581,-21.58749999,-41.95833333
347,peixe,27.877842003853562,-12.015377,-48.544517
348,posse,24.434728795049146,-14.08916666,-46.36638888
351,alfredo chaves,23.613584474885844,-20.63638888,-40.74194444
352,itapoa,25.147764227642277,-26.08138888,-48.64166666
353,palmares,24.377565000778453,-8.66666666,-35.56805554
354,itacoatiara,26.801744946924533,-3.13333333,-58.48277777
355,porto murtinho,23.846829640947288,-21.70583333,-57.88666666
356,corrente,26.842958801498128,-10.42916666,-45.17305554
357,ariranha,27.080437009218166,-21.13305554,-48.84055555
358,ipora,24.067829181494663,-16.42305554,-51.14888888
359,urussanga,19.733136910732195,-28.53249999,-49.31527777
360,conde,26.606269877328486,-12.03583333,-37.68388888
361,brasilia,21.223461582372416,-15.78944444,-47.92583332
362,caldas,17.945830477496,-21.918066,-46.382996
365,comodoro,22.781102362204724,-13.70805555,-59.7625
366,marianopolis do to,26.376220293154976,-9.576389,-49.723333
367,tupancireta,18.365290484903934,-29.0893814,-53.82665025
369,sao luis,26.91539780521262,-2.52666666,-44.21361111
370,joao pinheiro,23.3182379349046,-17.784477,-46.119394
372,campo novo dos parecis,24.338044579533943,-13.78583333,-57.8386111
373,formoso do araguaia,26.50980611483967,-11.88749999,-49.60833333
374,alegre,23.319302161654136,-20.75055555,-41.48888888
375,nova andradina,25.610174797808504,-22.0786111,-53.46583333
376,bebedouro,23.4364546936874,-20.94916666,-48.48999999
377,aral moreira,21.85222985633979,-22.955,-55.6261111
378,salvador radio farol ,25.235134443021767,-12.80833333,-38.49583333
379,sorocaba,22.831662000509038,-23.4261111,-47.58555555
380,carlinda,28.25172413793103,-9.97055554,-55.82749999
381,fatima do sul,27.5,-22.30861111,-54.32583332
382,gurupi,26.8804873441632,-11.74583333,-49.04972221
383,maringa,22.9693031798875,-23.40527777,-51.93277777
384,cambara do sul,14.748635689005594,-29.04916666,-50.14972221
385,serrinha,25.384310257705913,-11.66472222,-39.02305554
386,sao gabriel do oeste,25.671212121212122,-19.42027777,-54.55305555
387,una,23.41500944530311,-15.28027777,-39.09138888
388,afonso claudio,21.357605914131362,-20.10416666,-41.10694444
389,sao simao,27.04556720686368,-18.969142,-50.633449
390,cabrobo,27.194887327356433,-8.504,-39.31528
392,curvelo,24.294733257661747,-18.747711,-44.453785
393,itapaci,23.73824637515698,-14.97972221,-49.53999999
