,Municipio,Novos_casos,Populacao_estimada,Latitude,Longitude,Relacao_perc_pop_covid
2391,jambeiro,304,6828,-23.2556416,-45.6919926,4.4523
2392,jampruca,206,5453,-18.4613981,-41.8092299,3.7777
2393,janauba,4029,72374,-15.8019291,-43.309246,5.5669
2394,jandaia,717,6001,-17.0479665,-50.1475485,11.948
2395,jandaia do sul,2333,21281,-23.6003907,-51.645674,10.9628
2396,jandaira,869,6907,-11.5628009,-37.7820255,12.5814
2397,jandira,5791,127734,-23.5282246,-46.902003,4.5336
2398,janduis,312,5228,-5.5752944,-36.9225002,5.9679
2399,jangada,357,8420,-15.2369949,-56.4902844,4.2399
2400,janiopolis,414,4948,-24.140124,-52.77836,8.367
2401,januaria,3276,67958,-15.4875,-44.361111,4.8206
2402,januario cicco,226,10367,-6.158053,-35.602085,2.18
2403,japaraiba,350,4418,-20.1416346,-45.5032099,7.9221
2404,japaratinga,278,8444,-9.087464,-35.263403,3.2923
2405,japaratuba,1065,19067,-10.5934888,-36.941514,5.5856
2406,japeri,575,106296,-22.6427642,-43.6533831,0.5409
2407,japi,378,4935,-6.4634348,-35.9456879,7.6596
2408,japira,559,4929,-23.8119773,-50.1397133,11.341
2409,japoata,313,13422,-10.3467864,-36.799878,2.332
2410,japonvar,281,7991,-15.9980389,-44.2755057,3.5165
2411,japora,201,9372,-23.8919161,-54.406888,2.1447
2412,japura,1448,9573,-7.1781505,-71.8538963,15.1259
2413,jaqueira,89,11632,-8.7276422,-35.7948925,0.7651
2414,jaquirana,499,3611,-28.8836757,-50.3580098,13.8189
2415,jaragua,7202,52160,-15.7528866,-49.3344033,13.8075
2416,jaragua do sul,20798,184579,-26.4897432,-49.0778063,11.2678
2417,jaraguari,227,7342,-20.1019755,-54.4377423,3.0918
2418,jaramataia,57,5751,-9.6597307,-37.0015482,0.9911
2419,jardim,3335,27187,-21.479941,-56.148902,12.2669
2420,jardim alegre,958,11067,-24.1795192,-51.6927177,8.6564
2421,jardim de angicos,142,2600,-5.6520662,-35.9699312,5.4615
2422,jardim de piranhas,2052,15044,-6.3796347,-37.3495566,13.64
2423,jardim do mulato,141,4522,-6.0953808,-42.636034,3.1181
2424,jardim do serido,1471,12397,-6.59043,-36.7736039,11.8658
2425,jardim olinda,63,1309,-22.5520625,-52.036373,4.8128
2426,jardinopolis,3329,45544,-21.0255126,-47.7706807,7.3094
2427,jari,189,3472,-29.292234,-54.223711,5.4435
2428,jarinu,2497,31173,-23.0949649,-46.7148565,8.0101
2429,jaru,5892,51469,-10.431826,-62.478769,11.4477
2430,jatai,9429,103221,-17.8783829,-51.7204241,9.1348
2431,jataizinho,1349,12687,-23.257815,-50.977748,10.6329
2432,jatauba,978,17305,-7.9860545,-36.4980118,5.6515
2433,jatei,288,4015,-22.4815624,-54.307006,7.1731
2434,jati,729,8150,-7.6894344,-39.006074,8.9448
2435,jatoba,730,14904,3.9795392,-60.2027299,4.898
2436,jatoba do piaui,297,4885,-4.7700202,-41.8181631,6.0798
2437,jau,9826,153463,-22.293585,-48.559193,6.4028
2438,jau do tocantins,251,3906,-12.6526649,-48.5922532,6.426
2439,jaupaci,92,2843,-16.1841736,-50.9522616,3.236
2440,jauru,677,8377,-15.3407762,-58.8683137,8.0817
2441,jeceaba,368,4795,-20.5353816,-43.983346,7.6747
2442,jenipapo de minas,191,7781,-17.08493,-42.259576,2.4547
2443,jenipapo dos vieiras,209,17123,-5.3679814,-45.6348267,1.2206
2444,jequeri,647,12246,-20.453056,-42.666111,5.2834
2445,jequia da praia,239,11495,-10.0092595,-36.0232787,2.0792
2446,jequie,10168,156277,-13.8604033,-40.0719627,6.5064
2447,jequitai,261,7407,-17.2328217,-44.4383463,3.5237
2448,jequitiba,381,5203,-19.2361583,-44.03063,7.3227
2449,jequitinhonha,1731,25555,-16.433333,-41.003056,6.7736
2450,jeremoabo,1727,40832,-10.0754917,-38.3476326,4.2295
2451,jerico,480,7751,-6.5531817,-37.8078194,6.1927
2452,jeriquara,284,3143,-20.3104773,-47.5915669,9.036
2453,jeronimo monteiro,1253,12336,-20.7882214,-41.3921464,10.1573
2454,jerumenha,93,4443,-7.0880338,-43.5078454,2.0932
2455,jesuania,196,4774,-21.997777,-45.290833,4.1056
2456,jesuitas,888,8251,-24.3807263,-53.3855699,10.7623
2457,jesupolis,201,2497,-15.9545513,-49.3748004,8.0497
2458,ji parana,14533,131026,-10.8778148,-61.9277854,11.0917
2459,jijoca de jericoacoara,1933,20351,-2.8986278,-40.4506081,9.4983
2460,jiquirica,848,14576,-13.255353,-39.5693044,5.8178
2461,jitauna,603,10470,-14.017019,-39.8889976,5.7593
2462,joacaba,4766,30684,-27.1737204,-51.5065214,15.5325
2463,joaima,941,15476,-16.6563139,-41.0234956,6.0804
2464,joanesia,228,4382,-19.1756282,-42.6815534,5.2031
2465,joanopolis,1036,13453,-22.930004,-46.275208,7.7009
2466,joao alfredo,673,33570,-7.8608755,-35.591575,2.0048
2467,joao camara,2414,35360,-5.5349637,-35.8150811,6.8269
2468,joao costa,78,3003,-8.4887363,-42.4174704,2.5974
2469,joao dias,152,2653,-6.2754366,-37.7951805,5.7294
2470,joao dourado,1027,25606,-11.3483643,-41.6626509,4.0108
2471,joao lisboa,514,23677,-5.44363,-47.406388,2.1709
2472,joao monlevade,7937,80903,-19.809444,-43.173334,9.8105
2473,joao neiva,1871,16774,-19.7570307,-40.3856633,11.1542
2474,joao pessoa,8780,825796,-7.1215981,-34.882028,1.0632
2475,joao pinheiro,4082,47990,-17.742777,-46.175278,8.5059
2476,joao ramalho,526,4577,-22.2486157,-50.7677114,11.4922
2477,joaquim felicio,276,4757,-17.7602437,-44.1701635,5.802
2478,joaquim gomes,113,24167,-9.1372894,-35.7518862,0.4676
2479,joaquim nabuco,294,15999,-8.6233192,-35.5264107,1.8376
2480,joaquim pires,849,14396,-3.5083129,-42.1925425,5.8975
2481,joaquim tavora,1828,12108,-23.4999724,-49.9232545,15.0975
2482,joca claudino,112,2640,-6.4832147,-38.478874,4.2424
2483,joca marques,277,5488,-3.4986388,-42.4317729,5.0474
2484,joia,793,8571,-21.0609384,-46.973505,9.2521
2485,joinville,9197,604708,-26.3044898,-48.8486726,1.5209
2486,jordania,789,10872,-15.8993433,-40.1773115,7.2572
2487,jordao,438,8628,-9.1905396,-71.9484803,5.0765
2488,jose boiteux,252,5019,-26.962072,-49.6262509,5.0209
2489,jose bonifacio,4317,37707,-27.6350709,-52.2738654,11.4488
2490,jose da penha,541,5941,-6.3188,-38.2853568,9.1062
2491,jose de freitas,4611,39457,-4.7578357,-42.5763777,11.6861
2492,jose goncalves de minas,128,4474,-16.9066539,-42.6074998,2.861
2493,jose raydan,243,5104,-18.2220672,-42.4991123,4.761
2494,joselandia,193,16228,-4.9860047,-44.696953,1.1893
2495,josenopolis,200,4911,-16.5460934,-42.5140963,4.0725
2496,joviania,1096,7417,-17.8063651,-49.623645,14.7769
2497,juara,4557,35275,-11.2535587,-57.5080072,12.9185
2498,juarez tavora,525,8014,-7.1726926,-35.590804,6.551
2499,juarina,102,2174,-8.1194209,-49.0967459,4.6918
2500,juatuba,2176,27823,-19.954001,-44.3407921,7.8209
2501,juazeirinho,824,18422,-7.0688282,-36.5803059,4.4729
2502,juazeiro,11557,219544,-9.4336959,-40.5068201,5.2641
2503,juazeiro do norte,13219,278264,-7.2153453,-39.3153336,4.7505
2504,juazeiro do piaui,233,5491,-5.1709582,-41.7070148,4.2433
2505,jucas,1432,24949,-6.5224934,-39.5247183,5.7397
2506,jucati,449,11545,-8.7065829,-36.4870496,3.8891
2507,jucurucu,174,8856,-16.8432399,-40.1585627,1.9648
2508,jucurutu,2079,18335,-6.0343518,-37.0186249,11.339
2509,juina,3494,41190,-11.4230908,-58.7570212,8.4826
2510,juiz de fora,18112,577532,-21.7609533,-43.3501129,3.1361
2511,julio borges,87,5653,-10.3273669,-44.2397326,1.539
2512,julio de castilhos,1741,19159,-29.2286575,-53.6825217,9.0871
2513,julio mesquita,298,4824,-22.0099839,-49.7889446,6.1774
2514,jumirim,415,3467,-23.0843839,-47.7882279,11.97
2515,junco do maranhao,86,4334,-1.8799132,-46.0726685,1.9843
2516,junco do serido,716,7238,-6.991929,-36.7137661,9.8922
2517,jundia,534,4119,-8.944022,-35.5546827,12.9643
2518,jundiai,17940,426935,-23.1887668,-46.884506,4.202
2519,jundiai do sul,123,3248,-23.4369861,-50.2478173,3.7869
2520,junqueiro,572,24716,-9.9201549,-36.474737,2.3143
2521,junqueiropolis,1928,20978,-21.5109531,-51.4351505,9.1906
2522,jupi,771,15007,-8.7114677,-36.417448,5.1376
2523,jupia,223,2083,-26.3985774,-52.7262856,10.7057
2524,juquia,1434,18627,-24.3172209,-47.6355618,7.6985
2525,juquitiba,491,31844,-23.932346,-47.0714217,1.5419
2526,juramento,176,4359,-16.8458291,-43.5867351,4.0376
2527,juranda,976,7244,-24.420866,-52.841344,13.4732
2528,jurema,675,4790,-8.7189103,-36.137365,14.0919
2529,juripiranga,817,10830,-7.3743307,-35.2396,7.5439
2530,juru,498,9831,-7.5375089,-37.8192275,5.0656
2531,jurua,436,15495,-7.2849878,-35.2942302,2.8138
2532,juruaia,1056,10795,-21.252778,-46.577223,9.7823
2533,juruena,1152,16811,-10.3282716,-58.4968918,6.8527
2534,juruti,2041,59961,-2.1571381,-56.0900977,3.4039
2535,juscimeira,1257,11124,-16.0517819,-54.8893514,11.2999
2536,jussara,3254,7069,-15.874813,-50.867431,46.032
2537,jussari,428,5706,-15.1882453,-39.493597,7.5009
2538,jussiape,284,5777,-13.5176017,-41.5919452,4.916
2539,jutai,3494,13462,-1.72014,-66.8877467,25.9545
2540,juti,408,6861,-22.8611994,-54.604793,5.9467
2541,juvenilia,362,5706,-14.2660795,-44.1618528,6.3442
2542,kalore,1043,3996,-23.8242643,-51.6683666,26.1011
2543,labrea,3302,47685,-7.2613683,-64.7924505,6.9246
2544,lacerdopolis,342,2248,-27.2614296,-51.5564429,15.2135
2545,ladainha,146,18272,-17.6265078,-41.7385789,0.799
2546,ladario,1520,24040,-19.0036585,-57.6028285,6.3228
2547,lafaiete coutinho,242,3663,-13.6557671,-40.2121188,6.6066
2548,lagamar,336,7588,-18.1789844,-46.8077038,4.428
2549,lagarto,4474,106015,-10.9141791,-37.6715308,4.2202
2550,lages,14826,157158,-27.8165664,-50.325883,9.4338
2551,lago da pedra,1723,50959,-4.5627272,-45.1298628,3.3811
2552,lago do junco,313,10900,-4.6070838,-45.0530093,2.8716
2553,lago dos rodrigues,188,8841,-4.6119168,-44.9800419,2.1265
2554,lago verde,413,16369,-4.042525,-44.9364782,2.5231
2555,lagoa,204,4640,-6.5899848,-37.9149013,4.3966
2556,lagoa alegre,126,8610,-4.5134956,-42.6234811,1.4634
2557,lagoa bonita do sul,33,2939,-29.4903817,-53.0145712,1.1228
2558,lagoa d anta,283,6851,-6.394926,-35.594904,4.1308
2559,lagoa da canoa,755,17692,-9.8294012,-36.7395617,4.2675
2560,lagoa da confusao,1744,13989,-10.7883045,-49.6224431,12.4669
2561,lagoa da prata,6082,53236,-20.022778,-45.5440462,11.4246
2562,lagoa de dentro,845,7754,-27.61619565,-48.473854698913044,10.8976
2563,lagoa de itaenga,1022,21490,-7.9335596,-35.2919789,4.7557
2564,lagoa de pedras,463,7624,-6.1527678,-35.4368516,6.0729
2565,lagoa de sao francisco,408,6795,-4.3928921,-41.5988828,6.0044
2566,lagoa de velhos,147,2732,-6.003043,-35.8710877,5.3807
2567,lagoa do barro do piaui,535,4658,-8.4798938,-41.5295775,11.4856
2568,lagoa do carro,1108,18429,-7.843834,-35.310783,6.0123
2569,lagoa do mato,2467,11280,-6.04865,-43.5273907,21.8706
2570,lagoa do ouro,422,13300,-9.1247761,-36.4592567,3.1729
2571,lagoa do piaui,578,4086,-5.4116544,-42.6450588,14.1459
2572,lagoa do sitio,29,5219,-6.5169858,-41.5722134,0.5557
2573,lagoa do tocantins,227,4470,-10.2967881,-47.566253,5.0783
2574,lagoa dos gatos,383,16345,-8.6537614,-35.9045124,2.3432
2575,lagoa dos patos,113,4062,-31.251077199999997,-51.39597192157777,2.7819
2576,lagoa dos tres cantos,233,1604,-28.5668647,-52.8581637,14.5262
2577,lagoa dourada,1021,13115,-20.914444,-44.077778,7.785
2578,lagoa formosa,1583,18168,-18.7741896,-46.4082511,8.7131
2579,lagoa grande,2522,9681,-8.9930649,-40.2716452,26.051
2580,lagoa grande do maranhao,128,11534,-4.9914281,-45.3832921,1.1098
2581,lagoa nova,965,15880,-6.0948803,-36.4704991,6.0768
2582,lagoa real,779,15870,-14.0346296,-42.1421925,4.9086
2583,lagoa salgada,434,8348,-6.122954,-35.472394,5.1989
2584,lagoa santa,4850,66744,-19.1832417,-51.3998026,7.2666
2585,lagoa seca,2079,27728,-7.157099,-35.8542023,7.4978
2586,lagoa vermelha,3131,27751,-28.2087034,-51.527499,11.2825
2587,lagoao,521,6469,-29.2242092,-52.7738611,8.0538
2588,lagoinha,164,4882,-23.0898337,-45.1903825,3.3593
2589,lagoinha do piaui,189,2870,-5.8324033,-42.6236706,6.5854
2590,laguna,3419,46424,-28.4837443,-48.7816572,7.3647
2591,laguna carapa,548,7496,-22.5549233,-55.1505549,7.3106
2592,laje,1382,24214,-13.1809956,-39.4222968,5.7074
2593,laje do muriae,376,7298,-21.2082595,-42.1226959,5.1521
2594,lajeado,9154,86005,-29.4671522,-51.9624046,10.6436
2595,lajeado do bugre,202,2569,-27.6903262,-53.1811907,7.863
2596,lajeado grande,236,1408,-26.8583425,-52.5666619,16.7614
2597,lajeado novo,149,7653,-6.1898777,-47.0325965,1.9469
2598,lajedao,291,3993,-17.6120536,-40.3457621,7.2878
2599,lajedinho,229,3735,-12.3555395,-40.9033041,6.1312
2600,lajedo,1842,40883,-8.657914,-36.329336,4.5055
2601,lajedo do tabocal,560,8591,-13.4740649,-40.2195324,6.5184
2602,lajes,924,11410,-27.8165664,-50.325883,8.0982
2603,lajes pintadas,304,4768,-6.1497352,-36.1166085,6.3758
2604,lajinha,1717,19914,-20.1520595,-41.6240623,8.6221
2605,lamarao,336,8078,-11.7954003,-38.8852303,4.1594
2606,lambari,1812,20995,-21.9754009,-45.3505415,8.6306
2607,lambari d oeste,557,6246,-15.3188455,-58.0046244,8.9177
2608,lamim,150,3366,-20.7905386,-43.4733218,4.4563
2609,landri sales,1087,5272,-7.2609081,-43.9311019,20.6184
2610,lapa,3317,48651,-13.2498754,-43.4101019,6.8179
2611,lapao,1451,27323,-11.3827148,-41.833808,5.3105
2612,laranja da terra,1058,10919,-19.9000548,-41.0567612,9.6895
2613,laranjal,1115,6856,-21.365278,-42.477778,16.2631
2614,laranjal do jari,3176,52302,-0.8419994,-52.516,6.0724
2615,laranjal paulista,3621,29047,-23.0514764,-47.8370125,12.466
2616,laranjeiras,1478,30327,-10.8040231,-37.1658336,4.8735
2617,laranjeiras do sul,2605,32167,-25.4073197,-52.4150132,8.0984
2618,lassance,438,6494,-17.886944,-44.576667,6.7447
2619,lastro,425,2698,-6.5175135,-38.1787636,15.7524
2620,laurentino,704,7154,-27.2193231,-49.7322856,9.8406
2621,lauro de freitas,14525,204669,-12.89242,-38.3127691,7.0968
2622,lauro muller,1334,15380,-28.3942244,-49.3975402,8.6736
2623,lavandeira,143,1984,-12.7887924,-46.5073198,7.2077
2624,lavinia,470,12581,-21.1665477,-51.0410539,3.7358
2625,lavras,8907,105756,-21.2425512,-44.9991978,8.4222
2626,lavras da mangabeira,1901,31476,-6.7519554,-38.9634019,6.0395
2627,lavras do sul,401,7410,-30.8118057,-53.8982856,5.4116
2628,lavrinhas,250,7361,-22.570047,-44.902359,3.3963
2629,leandro ferreira,267,3222,-19.7169632,-45.0245003,8.2868
2630,lebon regis,1140,12122,-26.927987,-50.692109,9.4044
2631,leme,10916,105273,-22.1844807,-47.385295,10.3692
2632,leme do prado,168,4923,-17.0827986,-42.6952729,3.4126
2633,lencois,663,11586,-12.5634288,-41.3901717,5.7224
2634,lencois paulista,8503,69533,-22.6029897,-48.8031367,12.2287
2635,leoberto leal,288,2960,-27.5071209,-49.2871979,9.7297
2636,leopoldina,4899,52690,-21.5314282,-42.6403534,9.2978
2637,leopoldo de bulhoes,702,7663,-16.6190479,-48.742755,9.1609
2638,leopolis,352,3896,-23.0789091,-50.7501808,9.0349
2639,liberato salzano,420,5087,-27.6003296,-53.0714815,8.2563
2640,liberdade,255,4994,-22.0263303,-44.3197395,5.1061
2641,licinio de almeida,346,12357,-14.6827305,-42.5067536,2.8
2642,lidianopolis,445,3155,-24.1073464,-51.6525676,14.1046
2643,lima campos,431,11943,-4.5179809,-44.4671291,3.6088
2644,lima duarte,644,16749,-21.842777,-43.792777,3.845
2645,limeira,13049,310783,-22.5615068,-47.401766,4.1987
2646,limeira do oeste,1006,7640,-19.5521959,-50.5772673,13.1675
2647,limoeiro,2263,56149,-7.872599,-35.440154,4.0303
2648,limoeiro de anadia,986,28904,-9.7389667,-36.5015847,3.4113
2649,limoeiro do ajuru,780,29623,-1.8866440500000001,-49.495701348909165,2.6331
2650,limoeiro do norte,5632,60232,-5.1455607,-38.0984936,9.3505
2651,lindoeste,437,4488,-25.2608275,-53.5758136,9.7371
2652,lindoia,732,8201,-22.5229637,-46.6502119,8.9257
2653,lindoia do sul,634,4530,-27.0520334,-52.0831975,13.9956
2654,lindolfo collor,731,6193,-29.5956301,-51.2102797,11.8036
2655,linha nova,184,1724,-29.467709,-51.2001125,10.6729
2656,linhares,18833,179755,-19.3816944,-40.0612213,10.477
2657,lins,6257,78978,-21.6741873,-49.7518932,7.9225
2658,livramento,938,7274,-13.6505468,-41.8412103,12.8952
2659,livramento de nossa senhora,2196,46372,-13.6505468,-41.8412103,4.7356
2660,lizarda,74,3727,-9.5955336,-46.675218,1.9855
2661,loanda,2581,23393,-22.9320944,-53.1352452,11.0332
2662,lobato,488,4850,-23.0077055,-51.9524309,10.0619
2663,logradouro,172,4406,-6.6147883,-35.4431686,3.9038
2664,londrina,7668,580870,-23.3112878,-51.1595023,1.3201
2665,lontra,643,9766,-15.9034782,-44.3030383,6.5841
2666,lontras,787,12497,-27.1679891,-49.5424602,6.2975
2667,lorena,3889,89532,-22.7367652,-45.1070876,4.3437
2668,loreto,442,12271,-7.08562,-45.1397421,3.602
2669,lourdes,230,2311,-20.9672545,-50.224966,9.9524
2670,louveira,4244,51007,-23.08639,-46.95056,8.3204
2671,lucas do rio verde,8283,69671,-13.0664609,-55.9196711,11.8887
2672,lucelia,1827,22022,-21.7211293,-51.0188,8.2962
2673,lucena,706,13344,-6.8984018,-34.8711915,5.2908
2674,lucianopolis,332,2412,-22.4310459,-49.5219241,13.7645
2675,luciara,171,2036,-11.2234472,-50.6680221,8.3988
2676,lucrecia,455,4053,-6.1172522,-37.8134573,11.2263
2677,luis antonio,1775,15628,-21.545624150000002,-47.78137264632878,11.3578
2678,luis correia,1540,30558,-2.8818164,-41.6658458,5.0396
2679,luis domingues,310,7016,-1.3284412,-45.8975062,4.4185
2680,luis eduardo magalhaes,9162,92671,-12.0869117,-45.7834163,9.8866
2681,luis gomes,622,10175,-6.4141793,-38.3872939,6.113
2682,luisburgo,345,6249,-20.4394,-42.1025,5.5209
2683,luislandia,228,6735,-16.1150169,-44.5849349,3.3853
2684,luiz alves,1333,13347,-26.7118577,-48.9126756,9.9873
2685,luiziana,710,7217,-24.2838237,-52.2767531,9.8379
2686,luiziania,187,5918,-21.6763356,-50.3269863,3.1599
2687,luminarias,325,5431,-21.5112256,-44.903813,5.9842
2688,lunardelli,530,4695,-24.0793542,-51.7421822,11.2886
2689,lupercio,213,4608,-22.4145801,-49.8183516,4.6224
2690,lupionopolis,363,4969,-22.7558205,-51.6575301,7.3053
2691,lutecia,220,2623,-22.338378,-50.394007,8.3873
2692,luz,2004,18297,-23.53512225,-46.63539301511077,10.9526
2693,luzerna,743,5683,-27.1294338,-51.4686169,13.0741
2694,luziania,22868,214645,-16.2535456,-47.9500276,10.6539
2695,luzilandia,1102,25521,-3.4648887,-42.3689528,4.318
2696,luzinopolis,80,3200,-6.1918183,-47.8562036,2.5
2697,macae,15844,266136,-22.3712958,-41.7866922,5.9533
2698,macaiba,4855,82828,-5.8561372,-35.3523774,5.8615
2699,macajuba,641,11318,-12.1376415,-40.3590055,5.6635
2700,macambara,445,4539,-29.144485,-56.067444,9.8039
2701,macambira,447,7002,-10.6657963,-37.5396488,6.3839
2702,macapa,14636,522357,0.0401529,-51.0569588,2.8019
2703,macaparana,1020,25565,-7.54122565,-35.449102477927944,3.9898
2704,macarani,328,19056,-15.5632132,-40.4242167,1.7212
2705,macatuba,1719,17263,-22.50022,-48.710229,9.9577
2706,macau,2257,32260,-5.1131698,-36.6350676,6.9963
2707,macaubal,871,8174,-20.8071616,-49.9648439,10.6557
2708,macaubas,2017,50481,-13.0174846,-42.6882221,3.9956
2709,macedonia,352,3686,-20.1454034,-50.193911,9.5496
2710,maceio,8662,1031597,-9.6476843,-35.7339264,0.8397
2711,machacalis,489,7112,-17.0784105,-40.7175983,6.8757
2712,machadinho,540,5411,-27.5658904,-51.6677057,9.9797
2713,machadinho d oeste,5434,41724,-9.4240851,-61.9923719,13.0237
2714,machado,4359,42682,-21.6762861,-45.9211696,10.2127
2715,machados,457,16549,-7.6876999,-35.5126635,2.7615
2716,macieira,183,1757,-26.8541639,-51.3763845,10.4155
2717,macuco,878,5646,-21.9849747,-42.2539464,15.5508
2718,macurure,191,7752,-9.1717089,-39.0574899,2.4639
2719,madalena,924,20031,-4.8542961,-39.5766436,4.6129
2720,madeiro,43,8372,-3.4834038,-42.4994625,0.5136
2721,madre de deus,1370,21754,-12.7424741,-38.6152913,6.2977
2722,madre de deus de minas,636,5119,-21.482223,-44.329723,12.4243
2723,mae d agua,303,3988,-7.2582944,-37.4269768,7.5978
2724,mae do rio,802,30389,-2.0458692,-47.5522076,2.6391
2725,maetinga,185,2386,-14.6627814,-41.4914419,7.7536
2726,mafra,4152,56825,-26.1150943,-49.8035982,7.3066
2727,magalhaes barata,177,8598,-0.7960066,-47.6010399,2.0586
2728,magalhaes de almeida,109,20228,-3.392319,-42.211743,0.5389
2729,magda,327,3086,-20.6444651,-50.2260983,10.5962
2730,mage,8970,247741,-22.6042779,-43.10810909817503,3.6207
2731,maiquinique,760,10294,-15.6179956,-40.2645087,7.3829
2732,mairi,762,18535,-11.7077488,-40.1484881,4.1111
2733,mairinque,3504,47723,-23.5401247,-47.1846323,7.3424
2734,mairipora,4197,103645,-23.3190348,-46.5876377,4.0494
2735,mairipotaba,176,2358,-17.2949694,-49.4960906,7.464
2736,major gercino,188,3465,-27.419236,-48.94878,5.4257
2737,major isidoro,521,19923,-9.504550250000001,-37.029352117480855,2.6151
2738,major sales,358,4102,-6.4063378,-38.3226605,8.7275
2739,major vieira,273,8209,-26.3654856,-50.3272634,3.3256
2740,malacacheta,1097,18556,-17.8428204,-42.0786194,5.9118
2741,malhada,461,16875,-14.3379191,-43.7716651,2.7319
2742,malhada de pedras,285,8326,-14.35349315,-41.847352279317974,3.423
2743,malhada dos bois,198,3715,-10.3450779,-36.9206659,5.3297
2744,malhador,622,12689,-10.6588623,-37.3085558,4.9019
2745,mallet,749,13697,-25.8829457,-50.8289338,5.4684
2746,malta,336,5745,-6.9068159,-37.5217101,5.8486
2747,mamanguape,2182,45385,-6.833698,-35.121316,4.8078
2748,mambai,242,9277,-14.4970828,-46.1115108,2.6086
2749,mambore,1220,12900,-24.3084433,-52.5298446,9.4574
2750,mamonas,448,6565,-15.0477099,-42.9499586,6.8241
2751,mampituba,266,2965,-29.2128226,-49.9344527,8.9713
2752,manacapuru,5082,99613,-3.2996768,-60.6213528,5.1017
2753,manaira,562,10988,-7.7060905,-38.1531251,5.1147
2754,manaquiri,1138,33981,-3.4305885,-60.4593078,3.3489
2755,manari,407,22110,-8.9616166,-37.624648,1.8408
2756,manaus,6234,2255903,-3.1316333,-59.9825041,0.2763
2757,mancio lima,1666,19643,-7.6145911,-72.905264,8.4814
2758,mandaguacu,3244,23373,-23.3485076,-52.0966215,13.8793
2759,mandaguari,4358,34628,-23.5224849,-51.6787511,12.5852
2760,mandirituba,2678,27750,-25.7772457,-49.3279107,9.6505
2761,manduri,791,9972,-23.0059018,-49.317191,7.9322
2762,manfrinopolis,183,2442,-26.1440729,-53.3113372,7.4939
2763,manga,1280,18051,-14.7528035,-43.9417044,7.091
2764,mangaratiba,2124,45941,-22.9600193,-44.04111,4.6233
2765,mangueirinha,1561,16572,-25.9412009,-52.1740852,9.4195
2766,manhuacu,5005,92074,-20.2574434,-42.0340769,5.4358
2767,manhumirim,1404,22894,-20.3599141,-41.9554606,6.1326
2768,manicore,3353,57405,-5.804618,-61.289483,5.841
2769,manoel emidio,347,5352,-8.0054022,-43.8730321,6.4836
2770,manoel ribas,1561,13517,-24.5177239,-51.6685729,11.5484
2771,manoel urbano,427,9701,-8.838755,-69.2619465,4.4016
2772,manoel viana,388,7315,-29.585935,-55.484112,5.3042
2773,manoel vitorino,959,12944,-14.1448395,-40.2439696,7.4088
2774,mansidao,136,13822,-10.7196537,-44.0356021,0.9839
2775,mantena,1993,27651,-18.7809937,-40.9808279,7.2077
2776,mantenopolis,655,15653,-18.8626177,-41.1224012,4.1845
2777,maquine,668,6747,-29.6756372,-50.2056317,9.9007
2778,mar de espanha,1314,12985,-21.866945,-43.01,10.1194
2779,mar vermelho,139,3474,-9.447393,-36.388076,4.0012
2780,mara rosa,267,9234,-14.0148159,-49.1776521,2.8915
2781,maraa,1404,18298,-1.8535579,-65.5897749,7.673
2782,maraba,10544,287664,-5.3462821,-49.1007401,3.6654
2783,maraba paulista,50,6039,-22.1069936,-51.9629504,0.828
2784,maracacume,4,21773,-2.049177,-45.958734,0.0184
2785,maracai,1934,14069,-22.6112679,-50.6670685,13.7465
2786,maracaja,728,7461,-28.8628566,-49.449388,9.7574
2787,maracaju,4396,48944,-21.6163005,-55.164605,8.9817
2788,maracana,390,29559,-22.912161949999998,-43.23118606002972,1.3194
2789,maracanau,11876,230986,-3.8779438,-38.6247697,5.1414
2790,maracas,2446,19973,-13.4408898,-40.433052,12.2465
2791,maragogi,1181,33351,-9.0118278,-35.222512,3.5411
2792,maragogipe,1331,44902,-12.7766206,-38.9174729,2.9642
2793,maraial,68,11098,-8.7823791,-35.8113151,0.6127
2794,maraja do sena,92,7757,-4.6213998,-45.4539567,1.186
2795,maranguape,6010,131677,-3.8922967,-38.6835427,4.5642
2796,maranhaozinho,288,16754,-2.2429316,-45.8588977,1.719
2797,marapanim,369,28563,-0.7134493,-47.6985381,1.2919
2798,marapoama,405,3097,-21.2574769,-49.1314719,13.0772
2799,marata,219,2713,-29.549349,-51.5546411,8.0722
2800,marataizes,4780,39259,-21.0443673,-40.8272204,12.1756
2801,marau,5723,45523,-28.4493053,-52.2002156,12.5717
2802,maravilha,4342,8850,-26.7623898,-53.1747387,49.0621
2803,maravilhas,639,8113,-19.515278,-44.676389,7.8762
2804,marcacao,362,8746,-6.7704107,-35.0121479,4.139
2805,marcelandia,1322,10107,-11.0794264,-54.5202451,13.08
2806,marcelino ramos,303,4239,-27.4622708,-51.9081009,7.1479
2807,marcelino vieira,797,8325,-6.2938597,-38.1622228,9.5736
2808,marcionilio souza,310,10357,-13.0024332,-40.5317476,2.9931
2809,marco,1339,27822,-3.1221945,-40.1514585,4.8127
2810,marcolandia,642,8590,-7.4404183,-40.6650972,7.4738
2811,marcos parente,307,4546,-7.1216428,-43.8892251,6.7532
2812,marechal candido rondon,5491,54031,-24.5582532,-54.0587821,10.1627
2813,marechal deodoro,3743,52848,-9.709715,-35.896731,7.0826
2814,marechal floriano,2353,17141,-20.4124966,-40.6749858,13.7273
