,Municipio,Novos_casos,Populacao_estimada,Latitude,Longitude,Relacao_perc_pop_covid
0,abadia de goias,1238,9158,-16.7584,-49.4383,13.5182
1,abadia dos dourados,491,7022,-18.4911191,-47.4063589,6.9923
2,abadiania,412,20873,-16.1940946,-48.7067767,1.9738
3,abaete,1411,23263,-19.1566833,-45.4481213,6.0654
4,abaetetuba,4805,160439,-1.721828,-48.878843,2.9949
5,abaiara,481,11965,-7.3607808,-39.0487878,4.0201
6,abaira,158,8681,-13.2502696,-41.6639913,1.8201
7,abare,1082,20594,-8.7239913,-39.1139689,5.254
8,abatia,1087,7360,-23.3052967,-50.3102532,14.769
9,abdon batista,256,2534,-27.612419,-51.022992,10.1026
10,abel figueiredo,673,7536,-4.953001,-48.3958485,8.9305
11,abelardo luz,1337,18015,-26.5705893,-52.3280339,7.4216
12,abre campo,1092,13434,-20.295421,-42.480131,8.1286
13,abreu e lima,2544,100698,-7.900719,-34.898389,2.5264
14,abreulandia,230,2609,-9.6221526,-49.1558343,8.8156
15,acaiaca,158,3995,-20.3621646,-43.1444162,3.9549
16,acailandia,2243,113783,-4.9515026,-47.500732,1.9713
17,acajutiba,340,15214,-11.6609659,-38.0186381,2.2348
18,acara,928,55744,-3.6209617,-62.3797867,1.6648
19,acarape,882,15140,-4.2237866,-38.7071663,5.8256
20,acarau,2614,63556,-2.8869514,-40.1194713,4.1129
21,acari,873,11106,-22.8221528,-43.3406743,7.8606
22,acaua,127,7119,-8.219542,-41.083059,1.784
23,acegua,358,4981,-31.8695131,-54.1615593,7.1873
24,acopiara,2760,54687,-6.0936464,-39.4543204,5.0469
25,acorizal,600,5309,-15.2001544,-56.3668953,11.3016
26,acrelandia,1235,15721,-10.0759167,-67.0526898,7.8557
27,acreuna,2236,22710,-17.3959899,-50.3749031,9.8459
28,acu,4940,58743,-3.3537861,-60.4483111,8.4095
29,acucena,649,9270,-19.073056,-42.546666,7.0011
30,adamantina,3492,35153,-21.6866517,-51.0762975,9.9337
31,adelandia,146,2515,-16.4155077,-50.1665834,5.8052
32,adolfo,474,3545,-21.2356597,-49.6441918,13.3709
33,adrianopolis,987,5797,-24.6557863,-48.9912769,17.026
34,adustina,952,17209,-10.5358875,-38.114479,5.532
35,afogados da ingazeira,3485,37546,-7.7481283,-37.6346614,9.2819
36,afonso bezerra,623,11024,-5.4745,-36.57625071327935,5.6513
37,afonso claudio,2612,30326,-20.0744817,-41.1251335,8.6131
38,afonso cunha,115,6631,-4.1326105,-43.3230026,1.7343
39,afranio,641,19981,-8.5198919,-41.0070197,3.208
40,afua,703,39910,-0.1573523,-50.3908023,1.7615
41,agrestina,1105,25240,-8.4558021,-35.9442663,4.378
42,agricolandia,710,5123,-5.7967843,-42.6605131,13.8591
43,agrolandia,1379,11160,-27.4120688,-49.8294621,12.3566
44,agronomica,477,5570,-27.2660744,-49.7104753,8.5637
45,agua azul do norte,431,27797,-6.8064885,-50.4849667,1.5505
46,agua boa,3370,26679,-17.9956411,-42.3899261,12.6317
47,agua branca,1702,20263,-5.8913922,-42.6361148,8.3995
48,agua clara,2374,16025,-20.4385757,-52.8797496,14.8144
49,agua comprida,175,1986,-20.0574733,-48.1093074,8.8117
50,agua doce,1047,7160,-26.9986047,-51.5529306,14.6229
51,agua doce do maranhao,32,12731,-2.8402004,-42.1181949,0.2514
52,agua doce do norte,671,10801,-18.54822,-40.979012,6.2124
53,agua fria,124,17096,-11.8784691,-38.7663706,0.7253
54,agua fria de goias,353,5843,-14.9803368,-47.7824312,6.0414
55,agua limpa,190,1809,-18.0755648,-48.7620637,10.503
56,agua nova,131,3293,-6.2063221,-38.2912678,3.9781
57,agua preta,524,37386,-8.7079109,-35.5198586,1.4016
58,agua santa,365,3738,-28.1775297,-52.0360304,9.7646
59,aguai,3095,36981,-22.0592036,-46.979384,8.3692
60,aguanil,566,4557,-20.9424533,-45.3927152,12.4205
61,aguas belas,1105,43923,-9.1113156,-37.1225218,2.5158
62,aguas da prata,580,8262,-21.9464285,-46.7192121,7.0201
63,aguas de chapeco,559,6544,-27.0741119,-52.9879048,8.5422
64,aguas de lindoia,1804,18908,-22.4718855,-46.6291034,9.5409
65,aguas de santa barbara,559,6142,-22.8821912,-49.2383956,9.1013
66,aguas de sao pedro,378,3588,-22.6000681,-47.8750887,10.5351
67,aguas formosas,772,19285,-17.083056,-40.935555,4.0031
68,aguas frias,420,2341,-26.8817187,-52.8599756,17.9411
69,aguas lindas de goias,5254,222850,-15.7392283,-48.2793357,2.3576
70,aguas mornas,322,6646,-27.696316,-48.8247831,4.845
71,aguas vermelhas,335,13656,-15.7469091,-41.4601975,2.4531
72,agudo,1790,16344,-29.6423259,-53.2494005,10.952
73,agudos,3756,37582,-22.4719836,-48.9884476,9.9941
74,agudos do sul,783,9567,-25.9890808,-49.3328175,8.1844
75,aguia branca,1318,9621,-18.9847265,-40.7391844,13.6992
76,aguiar,494,5622,-7.0928404,-38.1727215,8.7869
77,aguiarnopolis,253,7049,-6.5600452,-47.4721189,3.5892
78,aimores,1468,25116,-19.4917754,-41.0615603,5.8449
79,aiquara,164,4387,-14.126918,-39.8887574,3.7383
80,aiuaba,768,17584,-6.5710836,-40.1212278,4.3676
81,aiuruoca,326,5949,-21.9759554,-44.6036637,5.4799
82,ajuricaba,1203,6951,-28.239654,-53.7693013,17.3069
83,alagoa,358,2657,-22.1697202,-44.6400042,13.4738
84,alagoa grande,2567,28384,-7.0415212,-35.6285322,9.0438
85,alagoa nova,1473,20992,-7.06434685,-35.775842051108256,7.017
86,alagoinha,2184,14798,-8.4663372,-36.7748832,14.7588
87,alagoinha do piaui,241,7678,-7.0090952,-40.939675,3.1388
88,alagoinhas,7928,153023,-12.133526,-38.420772,5.1809
89,alambari,556,6231,-23.550338,-47.897971,8.9231
90,albertina,210,3015,-22.200556,-46.615556,6.9652
91,alcantara,134,22126,-2.4084996,-44.4174143,0.6056
92,alcantaras,1240,11846,-3.586247,-40.5457641,10.4677
93,alcantil,628,5527,-7.7425491,-36.0609604,11.3624
94,alcinopolis,372,5489,-18.3264121,-53.7094463,6.7772
95,alcobaca,940,22509,-17.5215875,-39.1965474,4.1761
96,aldeias altas,30,26979,-4.6291957,-43.4708622,0.1112
97,alecrim,257,5710,-27.6566142,-54.7653195,4.5009
98,alegre,2688,29869,-20.7625787,-41.5318886,8.9993
99,alegrete,9101,72493,-29.790166,-55.794862,12.5543
100,alegrete do piaui,181,4921,-7.2440138,-40.8602296,3.6781
101,alegria,224,3287,-27.8332103,-54.0574959,6.8147
102,alem paraiba,2818,35438,-21.8760576,-42.6810473,7.9519
103,alenquer,2302,57390,-1.946229,-54.738355,4.0112
104,alexandria,1570,13529,-6.414779,-38.0135516,11.6047
105,alexania,2691,28360,-16.0834049,-48.5077803,9.4887
106,alfenas,8957,80973,-21.4297405,-45.9479419,11.0617
107,alfredo chaves,1501,14670,-28.9351239,-51.5519175,10.2318
108,alfredo marcondes,180,4201,-21.9527,-51.413956,4.2847
109,alfredo vasconcelos,562,7052,-21.145833,-43.776389,7.9694
110,alfredo wagner,677,10136,-27.6961513,-49.3326734,6.6792
111,algodao de jandaira,289,2588,-6.9040175,-36.0089879,11.1669
112,alhandra,1754,19865,-7.4304246,-34.9106103,8.8296
113,alianca,647,38408,-7.6026425,-35.2263514,1.6845
114,alianca do tocantins,666,5303,-11.3055927,-48.9409096,12.5589
115,almadina,266,5273,-14.7025806,-39.6383321,5.0446
116,almas,112,6905,-11.5681309,-47.1702803,1.622
117,almeirim,1836,34044,-1.5290377,-52.5788111,5.393
118,almenara,3242,42380,-16.1740678,-40.6904907,7.6498
119,almino afonso,420,4685,-6.1544208,-37.7649018,8.9648
120,almirante tamandare,7807,121420,-25.3133048,-49.2997838,6.4297
121,almirante tamandare do sul,278,1935,-28.1141129,-52.9134874,14.3669
122,aloandia,190,1976,-17.7277983,-49.4809338,9.6154
123,alpercata,265,7448,-18.9803616,-41.9827637,3.558
124,alpestre,542,5885,-27.2512339,-53.0349646,9.2099
125,alpinopolis,1722,20059,-20.863611,-46.387777,8.5847
126,alta floresta,9657,52105,-9.8698547,-56.0834993,18.5337
127,alta floresta d oeste,3380,22516,-11.9296917,-61.9961284,15.0115
128,altair,257,4211,-20.5238955,-49.0606135,6.1031
129,altamira,11080,117320,-3.204065,-52.209961,9.4443
130,altamira do maranhao,132,8250,-4.1643006,-45.4674574,1.6
131,altamira do parana,287,1429,-24.798939,-52.7132201,20.084
132,altaneira,515,7712,-6.9980933,-39.7385742,6.6779
133,alterosa,809,14566,-21.249166,-46.143055,5.554
134,altinho,774,22996,-8.4904095,-36.0607494,3.3658
135,altinopolis,769,16221,-21.021364,-47.3712,4.7408
136,alto alegre,1337,4078,-21.5820592,-50.1661976,32.7857
137,alto alegre do maranhao,1138,28066,-4.2055693,-44.4525287,4.0547
138,alto alegre do pindare,749,31967,-3.6698186,-45.8462153,2.343
139,alto alegre dos parecis,1360,13268,-12.1314515,-61.856265,10.2502
140,alto araguaia,1200,19714,-17.3156528,-53.2169365,6.087
141,alto bela vista,162,1915,-27.4320737,-51.905771,8.4595
142,alto boa vista,865,7092,-11.6723985,-51.3744431,12.1968
143,alto caparao,248,5938,-20.4405661,-41.8683799,4.1765
144,alto do rodrigues,1999,14923,-5.290868,-36.7616726,13.3954
145,alto feliz,256,3043,-29.3785943,-51.3123751,8.4128
146,alto garcas,850,12323,-16.9469683,-53.529427,6.8977
147,alto horizonte,1052,6796,-14.1954948,-49.3366993,15.4797
148,alto jequitiba,718,8286,-20.423611,-41.966111,8.6652
149,alto longa,462,14371,-5.2549051,-42.2072388,3.2148
150,alto paraguai,589,11587,-14.513712,-56.4936374,5.0833
151,alto paraiso,2222,22258,-23.508137,-53.728537,9.9829
152,alto paraiso de goias,630,7751,-14.1304779,-47.5100161,8.128
153,alto parana,1128,14945,-23.131247,-52.318893,7.5477
154,alto parnaiba,504,11233,-9.112506,-45.9310154,4.4868
155,alto piquiri,980,9722,-24.0239021,-53.4417448,10.0802
156,alto rio doce,441,10723,-21.0239537,-43.4133507,4.1127
157,alto rio novo,417,7911,-19.0577208,-41.0171518,5.2711
158,alto santo,1430,16077,-5.5190371,-38.2719351,8.8947
159,alto taquari,1131,11413,-17.8269099,-53.2831736,9.9098
160,altonia,1584,22293,-23.8722004,-53.894037,7.1054
161,altos,2870,40681,-5.0393915,-42.4611694,7.0549
162,aluminio,1217,18903,-23.5203479,-47.2575256,6.4381
163,alvaraes,1463,16396,-3.2155787,-64.8148327,8.9229
164,alvarenga,369,3783,-19.4175,-41.728334,9.7542
165,alvares florence,522,3616,-20.3205523,-49.9085255,14.4358
166,alvares machado,2100,25078,-22.076415,-51.47224,8.3739
167,alvaro de carvalho,250,5320,-22.0787992,-49.7194861,4.6992
168,alvinlandia,109,3251,-22.4431852,-49.7643596,3.3528
169,alvinopolis,714,15135,-20.1105199,-43.0601805,4.7175
170,alvorada,16055,8381,-29.9981184,-51.0772509,191.5643
171,alvorada d oeste,1157,13807,-11.346271,-62.284697,8.3798
172,alvorada de minas,236,3605,-18.7318587,-43.3641479,6.5465
173,alvorada do gurgueia,351,5469,-8.4465288,-43.8655915,6.418
174,alvorada do norte,575,8749,-14.483911,-46.4959897,6.5722
175,alvorada do sul,693,11598,-22.7807269,-51.2307721,5.9752
176,amajari,594,13561,3.6523869,-61.4194315,4.3802
177,amambai,2397,40247,-23.1082701,-55.2284854,5.9557
178,amapa,443,9265,1.3545442,-51.9161977,4.7814
179,amapa do maranhao,167,7047,-1.6762114,-46.0109669,2.3698
180,amapora,435,6405,-23.094272,-52.786597,6.7916
181,amaraji,324,22910,-8.373925,-35.4536527,1.4142
182,amaral ferrador,208,7136,-30.8750633,-52.2542051,2.9148
183,amaralina,127,3875,-13.9236199,-49.2962411,3.2774
184,amarante,923,17609,-6.2459374,-42.8476238,5.2416
185,amarante do maranhao,573,42017,-5.56913,-46.747284,1.3637
186,amargosa,2451,37631,-13.0302189,-39.6040692,6.5132
187,amatura,1371,11934,-3.3640509,-68.1994689,11.4882
188,amelia rodrigues,1668,24997,-12.4015388,-38.7516971,6.6728
189,america dourada,624,16086,-11.4515262,-41.4357517,3.8791
190,americana,17126,244370,-22.7392463,-47.3306032,7.0082
191,americano do brasil,722,6220,-16.2515808,-49.9806104,11.6077
192,americo brasiliense,3294,41545,-21.7297099,-48.1052092,7.9288
193,americo de campos,795,5993,-20.298476,-49.735904,13.2655
194,ametista do sul,908,7396,-27.3617341,-53.1826575,12.2769
195,amontada,1994,44195,-3.3634586,-39.8284791,4.5118
196,amorinopolis,311,3011,-16.6211308,-51.0949921,10.3288
197,amparo,6466,73145,-22.70111,-46.76444,8.84
198,amparo do serra,114,4643,-20.5070255,-42.8028462,2.4553
199,ampere,2411,19466,-25.9168712,-53.4742414,12.3857
200,anadia,993,17507,-9.6830208,-36.3052699,5.672
201,anage,865,21229,-14.6134669,-41.1376308,4.0746
202,anahy,407,2774,-24.6450861,-53.1337957,14.672
203,anajas,413,30091,-6.4291057,-44.1209842,1.3725
204,anajatuba,874,27170,-3.26441,-44.6179916,3.2168
205,analandia,340,5115,-22.128917,-47.661939,6.6471
206,anama,829,14292,-3.5797356,-61.4049996,5.8004
207,ananas,1108,9435,3.8990333,-61.4310717,11.7435
208,ananindeua,15788,540410,-1.374035,-48.4016623,2.9215
209,anapolis,18694,396526,-16.3332828,-48.9525756,4.7144
210,anapu,836,29312,-3.4668292,-51.2057035,2.8521
211,anapurus,11,16054,-3.6751298,-43.1046001,0.0685
212,anastacio,1587,25336,-20.4832458,-55.8048448,6.2638
213,anaurilandia,506,9116,-22.185169,-52.719056,5.5507
214,anchieta,4248,5477,-20.8057672,-40.6454564,77.5607
215,andarai,635,13122,-12.8059674,-41.3322919,4.8392
216,andira,2277,19823,-23.0494761,-50.2310027,11.4867
217,andorinha,620,14416,-10.3445708,-39.8334411,4.3008
218,andradas,3467,41704,-22.0693412,-46.5707584,8.3134
219,andradina,4758,57245,-20.896505,-51.3742765,8.3116
220,andre da rocha,71,1351,-28.6309124,-51.5733328,5.2554
221,andrelandia,86,12189,-21.739722,-44.308889,0.7056
222,angatuba,2768,25724,-23.4938938,-48.4110675,10.7604
223,angelandia,247,8594,-17.7253,-42.2728,2.8741
224,angelica,1176,11081,-22.1588196,-53.7728504,10.6128
225,angelim,151,11301,-8.8902038,-36.2872987,1.3362
226,angelina,357,4686,-27.5805287,-48.9838759,7.6184
227,angical,596,13902,-12.005623,-44.7000236,4.2872
228,angical do piaui,689,6779,-6.0872666,-42.7366138,10.1637
229,angico,72,3475,-6.3893733,-47.8656722,2.0719
